Receiver Core 0 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,152.38 +/- 3.83,151.18 +/- 4.72,150.90 +/- 4.47,150.98 +/- 4.58,
Core 2,152.36 +/- 3.83,151.18 +/- 4.70,150.85 +/- 4.28,150.87 +/- 4.52,
Core 3,153.11 +/- 4.22,151.20 +/- 4.58,150.88 +/- 4.29,150.77 +/- 4.46,

Receiver Core 1 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,159.34 +/- 3.54,156.40 +/- 2.94,156.37 +/- 2.53,159.55 +/- 4.03,
Core 1,-,-,-,-,
Core 2,164.66 +/- 5.91,160.73 +/- 5.24,159.57 +/- 4.04,162.73 +/- 5.78,
Core 3,160.50 +/- 4.11,156.95 +/- 3.41,156.40 +/- 2.38,160.05 +/- 4.53,

Receiver Core 2 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,175.69 +/- 3.48,173.04 +/- 3.00,172.82 +/- 2.44,175.85 +/- 3.76,
Core 1,179.22 +/- 4.90,176.04 +/- 3.91,175.67 +/- 3.76,178.47 +/- 5.10,
Core 2,-,-,-,-,
Core 3,176.97 +/- 4.25,173.48 +/- 3.48,172.90 +/- 2.44,176.16 +/- 4.01,

Receiver Core 3 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,179.11 +/- 4.72,176.30 +/- 4.37,175.61 +/- 3.78,173.70 +/- 3.00,
Core 1,177.74 +/- 3.98,175.98 +/- 4.20,175.21 +/- 3.48,173.75 +/- 3.27,
Core 2,177.73 +/- 3.99,176.03 +/- 4.33,175.28 +/- 3.49,173.71 +/- 3.18,
Core 3,-,-,-,-,

Receiver Core 0 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,151.99 +/- 3.95,152.81 +/- 3.58,151.68 +/- 3.48,151.73 +/- 4.70,
Core 2,151.91 +/- 3.89,152.95 +/- 3.63,151.72 +/- 3.46,151.68 +/- 3.92,
Core 3,151.89 +/- 3.80,152.96 +/- 3.68,151.73 +/- 3.60,151.70 +/- 4.01,

Receiver Core 1 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,151.87 +/- 5.30,153.64 +/- 4.52,151.00 +/- 4.46,151.01 +/- 4.83,
Core 1,-,-,-,-,
Core 2,151.87 +/- 5.61,153.43 +/- 4.86,150.98 +/- 4.34,150.89 +/- 4.65,
Core 3,150.93 +/- 4.36,152.32 +/- 3.80,150.84 +/- 4.26,150.88 +/- 4.56,

Receiver Core 2 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,157.13 +/- 3.70,161.73 +/- 4.16,157.01 +/- 2.65,159.15 +/- 4.14,
Core 1,158.14 +/- 5.59,163.20 +/- 5.65,157.03 +/- 2.70,159.44 +/- 4.35,
Core 2,-,-,-,-,
Core 3,157.22 +/- 3.59,162.74 +/- 4.80,157.22 +/- 2.95,159.05 +/- 3.80,

Receiver Core 3 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,173.12 +/- 3.06,175.77 +/- 3.53,175.25 +/- 3.46,172.79 +/- 2.71,
Core 1,173.30 +/- 3.47,175.71 +/- 3.53,175.18 +/- 3.43,172.83 +/- 2.84,
Core 2,173.25 +/- 3.30,175.59 +/- 3.46,175.16 +/- 3.42,172.97 +/- 2.92,
Core 3,-,-,-,-,

Receiver Core 0 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,165.28 +/- 2.12,165.42 +/- 2.31,168.24 +/- 3.34,165.63 +/- 4.04,
Core 2,165.23 +/- 2.15,165.36 +/- 2.33,168.33 +/- 3.48,165.48 +/- 4.15,
Core 3,165.18 +/- 2.09,165.27 +/- 2.24,168.36 +/- 3.43,165.54 +/- 3.96,

Receiver Core 1 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,157.23 +/- 2.16,157.26 +/- 2.32,163.51 +/- 4.86,157.93 +/- 4.86,
Core 1,-,-,-,-,
Core 2,157.51 +/- 2.68,157.34 +/- 2.37,163.47 +/- 5.15,158.04 +/- 4.68,
Core 3,157.23 +/- 2.27,157.33 +/- 2.33,162.41 +/- 4.07,157.65 +/- 4.65,

Receiver Core 2 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,142.78 +/- 1.95,142.78 +/- 2.00,144.60 +/- 3.53,142.50 +/- 4.71,
Core 1,142.84 +/- 2.01,142.82 +/- 2.15,145.70 +/- 4.36,142.89 +/- 5.89,
Core 2,-,-,-,-,
Core 3,142.84 +/- 2.04,142.89 +/- 2.53,146.10 +/- 4.49,142.94 +/- 5.70,

Receiver Core 3 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,156.02 +/- 2.16,156.13 +/- 2.33,159.07 +/- 3.46,156.80 +/- 4.34,
Core 1,155.99 +/- 2.14,156.13 +/- 2.27,159.20 +/- 3.52,156.80 +/- 4.24,
Core 2,156.05 +/- 2.14,156.12 +/- 2.26,158.96 +/- 3.35,156.75 +/- 3.92,
Core 3,-,-,-,-,

Receiver Core 0 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,174.20 +/- 2.28,174.11 +/- 2.07,174.45 +/- 2.75,178.25 +/- 3.85,
Core 2,174.12 +/- 2.16,174.09 +/- 2.08,174.50 +/- 2.96,178.29 +/- 3.87,
Core 3,174.25 +/- 2.31,174.21 +/- 2.23,174.78 +/- 3.30,179.37 +/- 4.37,

Receiver Core 1 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,165.57 +/- 2.40,165.48 +/- 2.42,166.10 +/- 3.04,169.53 +/- 4.32,
Core 1,-,-,-,-,
Core 2,165.32 +/- 2.22,165.34 +/- 2.18,165.98 +/- 3.09,168.66 +/- 3.76,
Core 3,165.31 +/- 2.17,165.23 +/- 2.12,165.62 +/- 2.53,168.33 +/- 3.65,

Receiver Core 2 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,151.82 +/- 3.52,151.79 +/- 3.53,152.14 +/- 4.11,154.26 +/- 4.68,
Core 1,151.85 +/- 3.59,151.77 +/- 3.55,152.31 +/- 4.28,154.75 +/- 4.97,
Core 2,-,-,-,-,
Core 3,151.76 +/- 3.55,151.73 +/- 3.51,151.89 +/- 3.79,152.98 +/- 3.89,

Receiver Core 3 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,142.77 +/- 2.05,142.73 +/- 1.94,142.97 +/- 2.65,145.09 +/- 4.47,
Core 1,142.76 +/- 1.97,142.77 +/- 1.87,142.96 +/- 2.88,144.46 +/- 4.09,
Core 2,142.76 +/- 1.95,142.76 +/- 2.17,143.01 +/- 2.79,144.48 +/- 3.99,
Core 3,-,-,-,-,

