Receiver Core 0 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,152.25 +/- 3.77,153.62 +/- 8.14,150.95 +/- 4.35,151.35 +/- 6.89,
Core 2,152.28 +/- 3.81,153.70 +/- 8.13,151.02 +/- 4.41,151.36 +/- 7.03,
Core 3,153.00 +/- 4.37,153.81 +/- 8.31,151.05 +/- 4.28,151.40 +/- 6.87,

Receiver Core 1 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,159.88 +/- 3.83,159.42 +/- 7.65,157.53 +/- 4.14,160.68 +/- 6.43,
Core 1,-,-,-,-,
Core 2,166.38 +/- 6.88,164.88 +/- 9.64,161.95 +/- 5.20,165.51 +/- 8.10,
Core 3,161.87 +/- 5.63,161.02 +/- 8.96,157.36 +/- 3.18,161.71 +/- 7.27,

Receiver Core 2 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,177.18 +/- 4.93,176.08 +/- 7.58,174.70 +/- 4.64,177.35 +/- 5.75,
Core 1,180.89 +/- 5.77,180.29 +/- 8.65,177.81 +/- 4.97,180.83 +/- 6.50,
Core 2,-,-,-,-,
Core 3,177.47 +/- 4.36,177.07 +/- 8.56,173.86 +/- 3.14,177.76 +/- 5.53,

Receiver Core 3 Slice 0
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,179.79 +/- 5.00,179.30 +/- 8.45,176.37 +/- 3.96,175.28 +/- 5.07,
Core 1,178.62 +/- 4.34,179.60 +/- 8.56,176.59 +/- 4.08,175.39 +/- 5.10,
Core 2,178.45 +/- 4.28,179.38 +/- 8.36,176.53 +/- 4.06,175.37 +/- 5.16,
Core 3,-,-,-,-,

Receiver Core 0 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,153.64 +/- 7.28,152.59 +/- 3.55,151.75 +/- 3.33,151.63 +/- 6.92,
Core 2,153.60 +/- 7.29,152.75 +/- 3.62,151.75 +/- 3.33,151.67 +/- 6.84,
Core 3,153.81 +/- 7.61,152.69 +/- 3.64,151.76 +/- 3.32,151.65 +/- 6.96,

Receiver Core 1 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,154.12 +/- 8.65,153.37 +/- 4.42,151.15 +/- 4.28,151.43 +/- 7.00,
Core 1,-,-,-,-,
Core 2,153.46 +/- 7.92,152.95 +/- 4.38,151.07 +/- 4.22,151.38 +/- 6.91,
Core 3,153.32 +/- 7.80,152.20 +/- 3.83,151.04 +/- 4.29,151.42 +/- 6.92,

Receiver Core 2 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,161.02 +/- 9.08,161.98 +/- 4.27,157.92 +/- 3.25,160.31 +/- 6.33,
Core 1,160.86 +/- 8.93,162.86 +/- 4.99,157.97 +/- 3.31,160.61 +/- 6.46,
Core 2,-,-,-,-,
Core 3,160.45 +/- 8.67,163.19 +/- 4.97,158.30 +/- 3.68,160.77 +/- 6.53,

Receiver Core 3 Slice 1
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,176.38 +/- 8.00,175.95 +/- 3.60,175.74 +/- 3.59,173.90 +/- 5.03,
Core 1,176.68 +/- 8.23,176.00 +/- 3.66,175.75 +/- 3.60,174.02 +/- 5.19,
Core 2,175.92 +/- 7.46,175.88 +/- 3.58,175.90 +/- 3.66,174.09 +/- 5.15,
Core 3,-,-,-,-,

Receiver Core 0 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,165.79 +/- 2.48,165.88 +/- 2.67,168.07 +/- 3.11,167.57 +/- 7.79,
Core 2,165.70 +/- 2.41,166.01 +/- 3.83,168.20 +/- 3.35,167.78 +/- 8.30,
Core 3,165.74 +/- 2.43,165.83 +/- 2.66,168.27 +/- 3.19,167.75 +/- 8.05,

Receiver Core 1 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,158.17 +/- 3.06,158.34 +/- 3.35,163.44 +/- 5.46,160.23 +/- 8.93,
Core 1,-,-,-,-,
Core 2,158.08 +/- 3.76,158.35 +/- 4.03,162.75 +/- 4.19,160.61 +/- 9.27,
Core 3,157.79 +/- 2.65,158.08 +/- 3.07,162.36 +/- 4.87,160.06 +/- 8.80,

Receiver Core 2 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,142.87 +/- 2.34,142.91 +/- 2.57,144.46 +/- 3.22,143.77 +/- 8.53,
Core 1,142.81 +/- 2.22,142.86 +/- 3.44,144.91 +/- 3.52,143.91 +/- 8.54,
Core 2,-,-,-,-,
Core 3,142.95 +/- 2.37,143.23 +/- 2.93,145.93 +/- 4.16,144.83 +/- 9.64,

Receiver Core 3 Slice 2
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,156.75 +/- 4.18,156.46 +/- 2.68,158.93 +/- 3.27,159.04 +/- 7.62,
Core 1,156.33 +/- 2.34,156.52 +/- 2.56,158.96 +/- 3.27,159.46 +/- 7.97,
Core 2,156.30 +/- 2.36,156.48 +/- 2.60,158.90 +/- 3.30,159.26 +/- 7.75,
Core 3,-,-,-,-,

Receiver Core 0 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,-,-,-,-,
Core 1,174.93 +/- 3.63,174.40 +/- 2.55,176.01 +/- 6.53,177.78 +/- 4.79,
Core 2,174.51 +/- 2.56,174.42 +/- 2.49,176.14 +/- 6.83,177.85 +/- 4.76,
Core 3,174.79 +/- 2.78,174.55 +/- 2.67,176.44 +/- 7.30,178.61 +/- 5.08,

Receiver Core 1 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,166.31 +/- 2.90,166.09 +/- 2.84,167.85 +/- 7.09,169.13 +/- 6.15,
Core 1,-,-,-,-,
Core 2,165.91 +/- 2.56,165.74 +/- 2.57,167.78 +/- 6.84,168.15 +/- 5.94,
Core 3,165.78 +/- 2.52,165.74 +/- 2.51,167.60 +/- 6.87,167.93 +/- 5.89,

Receiver Core 2 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,152.04 +/- 3.65,151.92 +/- 3.62,153.74 +/- 7.21,153.89 +/- 6.98,
Core 1,152.17 +/- 3.75,151.92 +/- 3.72,153.85 +/- 7.48,154.30 +/- 7.04,
Core 2,-,-,-,-,
Core 3,151.81 +/- 3.55,151.77 +/- 3.65,153.64 +/- 7.28,152.75 +/- 6.79,

Receiver Core 3 Slice 3
,Slice 0,Slice 1,Slice 2,Slice 3
Core 0,142.92 +/- 2.44,142.78 +/- 2.37,144.25 +/- 6.45,144.57 +/- 7.04,
Core 1,142.84 +/- 2.37,142.79 +/- 2.39,144.31 +/- 6.56,144.17 +/- 7.12,
Core 2,142.86 +/- 2.35,142.78 +/- 2.51,144.39 +/- 6.86,144.12 +/- 7.05,
Core 3,-,-,-,-,

